algorithm,sweep_parameter,sweep_value,num_requests_per_trial,request_seed,topology_seed,num_nodes,num_edges,average_edge_length_km,trial,throughput_qbps,realized_throughput,realized_successful_ghz_count,ilp_expected_objective,ilp_expected_throughput_term,ilp_covered_requests,ilp_selected_tree_count,deployed_source_count,served_requests,failed_requests,per_request_ghz,request_batch,ordered_requests,cost,used_budget,candidate_edge_count,effective_capacity,placement_runtime,link_deployment_runtime,routing_runtime,placement_and_routing_runtime,algorithm_running_time,total_runtime,deployed_dict,seed,source_seed,link_seed,operation_seed_base,request_operation_seeds,master_seed,request_order_seed,source_metadata,ci95_halfwidth,throughput_ci95_halfwidth,placement_runtime_ci95_halfwidth,link_deployment_runtime_ci95_halfwidth,routing_runtime_ci95_halfwidth,placement_and_routing_runtime_ci95_halfwidth,algorithm_running_time_ci95_halfwidth,total_runtime_ci95_halfwidth
BT-MP_t,num_requests_per_trial,2,2,593145736,,25,40,10.0,0,1.0,1.0,1.0,,,,,40,1,1,"[1, 0]","[[4, 18, 12], [19, 13, 21]]","[[4, 18, 12], [19, 13, 21]]",40,40,40,160,0.0024803000000019892,0.0009265999999996666,0.0025522000000037792,0.0050325000000057685,0.006388999999998646,0.006388999999998646,"{(12, 13): 1, (7, 12): 1, (11, 12): 1, (12, 17): 1, (6, 7): 1, (7, 8): 1, (6, 11): 1, (8, 13): 1, (11, 16): 1, (13, 18): 1, (16, 17): 1, (17, 18): 1, (2, 7): 1, (10, 11): 1, (13, 14): 1, (17, 22): 1, (16, 21): 1, (18, 19): 1, (18, 23): 1, (3, 8): 1, (5, 6): 1, (8, 9): 1, (15, 16): 1, (1, 6): 1, (1, 2): 1, (2, 3): 1, (5, 10): 1, (9, 14): 1, (10, 15): 1, (14, 19): 1, (21, 22): 1, (22, 23): 1, (4, 9): 1, (0, 1): 1, (0, 5): 1, (3, 4): 1, (15, 20): 1, (19, 24): 1, (20, 21): 1, (23, 24): 1}",1917356134,3074377297,2012288188,689960118,"[4265918666, 2813778286]",1,4029182149,"{'betweenness_scores': {(0, 1): 0.04896031746031746, (0, 5): 0.04896031746031746, (1, 2): 0.06992857142857144, (1, 6): 0.0758253968253968, (5, 6): 0.07582539682539681, (5, 10): 0.06992857142857144, (2, 3): 0.06992857142857144, (2, 7): 0.08376190476190479, (6, 7): 0.11528571428571432, (6, 11): 0.11528571428571428, (3, 4): 0.04896031746031746, (3, 8): 0.07582539682539681, (7, 8): 0.11528571428571431, (7, 12): 0.12957142857142856, (4, 9): 0.04896031746031747, (8, 9): 0.07582539682539681, (8, 13): 0.11528571428571428, (9, 14): 0.06992857142857144, (10, 11): 0.08376190476190479, (10, 15): 0.06992857142857144, (11, 12): 0.12957142857142856, (11, 16): 0.11528571428571428, (12, 13): 0.1295714285714286, (12, 17): 0.12957142857142856, (13, 14): 0.08376190476190479, (13, 18): 0.11528571428571428, (14, 19): 0.06992857142857144, (15, 16): 0.07582539682539681, (15, 20): 0.04896031746031746, (16, 17): 0.11528571428571428, (16, 21): 0.07582539682539682, (17, 18): 0.11528571428571428, (17, 22): 0.08376190476190476, (18, 19): 0.07582539682539682, (18, 23): 0.07582539682539682, (19, 24): 0.04896031746031746, (20, 21): 0.04896031746031746, (21, 22): 0.06992857142857144, (22, 23): 0.06992857142857144, (23, 24): 0.04896031746031746}, 'allocation': {(0, 1): 1, (0, 5): 1, (1, 2): 1, (1, 6): 1, (2, 3): 1, (2, 7): 1, (3, 4): 1, (3, 8): 1, (4, 9): 1, (5, 6): 1, (5, 10): 1, (6, 7): 1, (6, 11): 1, (7, 8): 1, (7, 12): 1, (8, 9): 1, (8, 13): 1, (9, 14): 1, (10, 11): 1, (10, 15): 1, (11, 12): 1, (11, 16): 1, (12, 13): 1, (12, 17): 1, (13, 14): 1, (13, 18): 1, (14, 19): 1, (15, 16): 1, (15, 20): 1, (16, 17): 1, (16, 21): 1, (17, 18): 1, (17, 22): 1, (18, 19): 1, (18, 23): 1, (19, 24): 1, (20, 21): 1, (21, 22): 1, (22, 23): 1, (23, 24): 1}, 'used_budget': 40, 'candidate_edge_count': 40, 'effective_capacity': 160}",,,,,,,,
BT-MP_t,num_requests_per_trial,2,2,593145736,,25,40,10.0,SUMMARY,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0024803000000019892,0.0009265999999996666,0.0025522000000037792,0.0050325000000057685,0.006388999999998646,0.006388999999998646,,,,,,,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP-MP_t,num_requests_per_trial,2,2,593145736,,25,40,10.0,0,2.0,2.0,2.0,,,,,40,2,0,"[1, 1]","[[4, 18, 12], [19, 13, 21]]","[[4, 18, 12], [19, 13, 21]]",40,40,31,124,0.012292899999998497,0.00046610000000413265,0.0014569000000008714,0.013749799999999368,0.014791999999999916,0.014791999999999916,"{(2, 3): 1, (2, 7): 1, (3, 4): 2, (3, 8): 1, (4, 9): 2, (7, 8): 1, (7, 12): 2, (8, 9): 1, (8, 13): 1, (9, 14): 1, (11, 12): 1, (11, 16): 1, (12, 13): 3, (12, 17): 3, (13, 14): 2, (13, 18): 3, (14, 19): 2, (16, 17): 1, (16, 21): 2, (17, 18): 2, (18, 19): 2, (19, 24): 1, (21, 22): 2, (22, 23): 1, (23, 24): 1}",1401080234,1198487884,2012288188,689960118,"[4265918666, 2813778286]",1,4029182149,"{'used_budget': 40, 'candidate_edge_count': 31, 'effective_capacity': 124, 'dp_candidate_seed': 3229805457, 'dp_candidate_tree_counts': {0: 4, 1: 4}, 'dp_path_edge_count': 30, 'dp_allocation': {(1, 2): 0, (1, 6): 0, (2, 3): 1, (2, 7): 1, (3, 4): 2, (3, 8): 1, (4, 9): 2, (6, 7): 0, (6, 11): 0, (7, 8): 1, (7, 12): 2, (8, 9): 1, (8, 13): 1, (9, 14): 1, (11, 12): 1, (11, 16): 1, (12, 13): 3, (12, 17): 3, (13, 14): 2, (13, 18): 3, (14, 19): 2, (16, 17): 1, (16, 21): 2, (17, 18): 2, (17, 22): 0, (18, 19): 2, (18, 23): 0, (19, 24): 1, (21, 22): 2, (22, 23): 1, (23, 24): 1}, 'dp_value': 8.643223943060057, 'dp_parts': {'F_topo': {(3, 4): 0.38913179262950404, (3, 8): 0.3079325421610683, (8, 13): 0.4759525296688317, (13, 18): 0.9999999999997377, (4, 9): 0.907557776389518, (8, 9): 0.3079325421610683, (9, 14): 0.592129918800594, (13, 14): 0.4528419737662772, (14, 19): 0.5690193628980392, (18, 19): 0.8457214241097095, (2, 3): 0.07370393504058029, (2, 7): 0.06620861961272467, (7, 12): 0.1911305434103184, (7, 8): 0.13991255465330496, (12, 13): 0.890693316676843, (1, 2): 0.0, (1, 6): 0.0, (6, 11): 0.022485946283566868, (11, 16): 0.198625858838174, (16, 21): 0.6014990630854137, (6, 7): 0.014990630855711248, (11, 12): 0.1686445971267515, (12, 17): 0.5633978763271477, (16, 17): 0.3953778888193842, (17, 18): 0.6645846346031985, (17, 22): 0.3953778888193842, (21, 22): 0.695190505933609, (18, 23): 0.21923797626477695, (22, 23): 0.2923173016863693, (19, 24): 0.0655840099937367, (23, 24): 0.0655840099937367}, 'F_demand': {(1, 2): 0.0, (1, 6): 0.0, (2, 3): 0.2499999999999375, (2, 7): 0.2499999999999375, (3, 4): 0.499999999999875, (3, 8): 0.2499999999999375, (4, 9): 0.499999999999875, (6, 7): 0.0, (6, 11): 0.0, (7, 8): 0.2499999999999375, (7, 12): 0.499999999999875, (8, 9): 0.2499999999999375, (8, 13): 0.2499999999999375, (9, 14): 0.2499999999999375, (11, 12): 0.2499999999999375, (11, 16): 0.2499999999999375, (12, 13): 0.99999999999975, (12, 17): 0.7499999999998125, (13, 14): 0.499999999999875, (13, 18): 0.99999999999975, (14, 19): 0.7499999999998125, (16, 17): 0.2499999999999375, (16, 21): 0.499999999999875, (17, 18): 0.7499999999998125, (17, 22): 0.0, (18, 19): 0.7499999999998125, (18, 23): 0.0, (19, 24): 0.2499999999999375, (21, 22): 0.499999999999875, (22, 23): 0.2499999999999375, (23, 24): 0.2499999999999375}, 'F_qual': {(1, 2): 0.0, (1, 6): 0.0, (2, 3): 0.0, (2, 7): 0.0, (3, 4): 0.0, (3, 8): 0.0, (4, 9): 0.0, (6, 7): 0.0, (6, 11): 0.0, (7, 8): 0.0, (7, 12): 0.0, (8, 9): 0.0, (8, 13): 0.0, (9, 14): 0.0, (11, 12): 0.0, (11, 16): 0.0, (12, 13): 0.0, (12, 17): 0.0, (13, 14): 0.0, (13, 18): 0.0, (14, 19): 0.0, (16, 17): 0.0, (16, 21): 0.0, (17, 18): 0.0, (17, 22): 0.0, (18, 19): 0.0, (18, 23): 0.0, (19, 24): 0.0, (21, 22): 0.0, (22, 23): 0.0, (23, 24): 0.0}, 'F_overlap': {(1, 2): 0.0, (1, 6): 0.0, (2, 3): 0.0, (2, 7): 0.0, (3, 4): 0.0, (3, 8): 0.0, (4, 9): 0.0, (6, 7): 0.0, (6, 11): 0.0, (7, 8): 0.0, (7, 12): 0.0, (8, 9): 0.0, (8, 13): 0.0, (9, 14): 0.0, (11, 12): 0.0, (11, 16): 0.0, (12, 13): 0.0, (12, 17): 0.0, (13, 14): 0.0, (13, 18): 0.0, (14, 19): 0.0, (16, 17): 0.0, (16, 21): 0.0, (17, 18): 0.0, (17, 22): 0.0, (18, 19): 0.0, (18, 23): 0.0, (19, 24): 0.0, (21, 22): 0.0, (22, 23): 0.0, (23, 24): 0.0}}, 'dp_total_pairs': 40}",,,,,,,,
DP-MP_t,num_requests_per_trial,2,2,593145736,,25,40,10.0,SUMMARY,2.0,2.0,2.0,,,,,,,,,,,,,,,0.012292899999998497,0.00046610000000413265,0.0014569000000008714,0.013749799999999368,0.014791999999999916,0.014791999999999916,,,,,,,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP_R-MP_t,num_requests_per_trial,2,2,593145736,,25,40,10.0,0,1.0,1.0,1.0,2000.1850939921896,0.18509399218934652,2,7,40,1,1,"[1, 0]","[[4, 18, 12], [19, 13, 21]]","[[4, 18, 12], [19, 13, 21]]",40,40,35,140,0.23597529999999978,0.0005002999999987878,0.0010364999999978863,0.23701179999999766,0.23789010000000133,0.23789010000000133,"{(2, 3): 1, (2, 7): 1, (3, 4): 3, (3, 8): 2, (4, 9): 2, (7, 8): 1, (7, 12): 2, (8, 9): 1, (8, 13): 2, (9, 14): 1, (12, 13): 2, (12, 17): 3, (13, 14): 2, (13, 18): 2, (14, 19): 3, (17, 18): 3, (18, 19): 2, (18, 23): 1, (19, 24): 1, (21, 22): 2, (22, 23): 2, (23, 24): 1}",148139878,1899179786,2012288188,689960118,"[4265918666, 2813778286]",1,4029182149,"{'lp_objective': 2000.1850939921896, 'ilp_expected_objective': 2000.1850939921896, 'ilp_expected_throughput_term': 0.18509399218934652, 'ilp_covered_requests': 2, 'ilp_selected_tree_count': 7, 'deployed_source_count': 40, 'ilp_objective_mode': 'coverage_expected_throughput', 'lp_status': 'OPTIMAL', 'lp_candidate_seed': 1934997417, 'lp_solver_seed': 1901584977, 'lp_selected_trees': 7, 'lp_candidate_tree_counts': {0: 10, 1: 8}, 'lp_minimum_routing_source_placement': None, 'lp_used_budget': 40, 'lp_memory_load': {2: 2, 3: 6, 4: 5, 7: 4, 8: 6, 9: 4, 12: 7, 13: 8, 14: 6, 17: 6, 18: 8, 19: 6, 21: 2, 22: 4, 23: 4, 24: 2}, 'used_budget': 40, 'candidate_edge_count': 35, 'effective_capacity': 140}",,,,,,,,
LP_R-MP_t,num_requests_per_trial,2,2,593145736,,25,40,10.0,SUMMARY,1.0,1.0,1.0,,,,,,,,,,,,,,,0.23597529999999978,0.0005002999999987878,0.0010364999999978863,0.23701179999999766,0.23789010000000133,0.23789010000000133,,,,,,,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILP_CG-MP_t,num_requests_per_trial,2,2,593145736,,25,40,10.0,0,1.0,1.0,1.0,2000.059400330114,0.0594003301136079,2,3,40,1,1,"[0, 1]","[[4, 18, 12], [19, 13, 21]]","[[4, 18, 12], [19, 13, 21]]",40,40,40,160,0.24441970000000168,0.0005306999999987738,0.001037900000000036,0.24545760000000172,0.24667449999999747,0.24667449999999747,"{(1, 2): 1, (1, 6): 1, (2, 3): 1, (2, 7): 1, (3, 4): 1, (3, 8): 1, (4, 9): 2, (6, 7): 1, (6, 11): 1, (7, 8): 1, (7, 12): 1, (8, 9): 2, (8, 13): 1, (9, 14): 1, (11, 12): 1, (11, 16): 1, (12, 13): 2, (12, 17): 2, (13, 14): 2, (13, 18): 2, (14, 19): 2, (16, 17): 1, (16, 21): 1, (17, 18): 2, (17, 22): 1, (18, 19): 1, (18, 23): 1, (19, 24): 1, (21, 22): 2, (22, 23): 1, (23, 24): 1}",3403111947,1899179786,2012288188,689960118,"[4265918666, 2813778286]",1,4029182149,"{'ilp_objective': 2000.059400330114, 'ilp_expected_objective': 2000.059400330114, 'ilp_expected_throughput_term': 0.0594003301136079, 'ilp_covered_requests': 2, 'ilp_selected_tree_count': 3, 'deployed_source_count': 40, 'ilp_objective_mode': 'coverage_expected_throughput', 'ilp_use_redundancy_reward': False, 'ilp_spend_remaining_budget_after_solve': True, 'ilp_status': 'OPTIMAL', 'ilp_cg_iterations': 1, 'ilp_cg_added_columns': 2, 'ilp_cg_pricing_mode': 'candidate_pool_exact', 'ilp_cg_pricing_pool_trees': 32, 'ilp_cg_pricing_pool_seed': 1934997417, 'ilp_cg_initial_seed': 1934997417, 'ilp_cg_final_solver_seed': 4122478884, 'ilp_cg_max_trees_per_request': 2, 'ilp_cg_max_pricing_columns_per_request': 1, 'ilp_selected_trees': 3, 'ilp_candidate_tree_counts': {0: 3, 1: 3}, 'ilp_minimum_routing_source_placement': {(2, 3): 1, (2, 7): 1, (3, 4): 1, (7, 12): 1, (12, 17): 1, (13, 14): 2, (13, 18): 1, (14, 19): 2, (17, 18): 2, (17, 22): 1, (19, 24): 1, (21, 22): 2, (22, 23): 1, (23, 24): 1}, 'ilp_optimized_z_used_budget': 18, 'ilp_deployed_used_budget': 40, 'ilp_redundant_used_budget': 40, 'ilp_redundant_routing_source_placement': {(1, 2): 1, (1, 6): 1, (2, 3): 1, (2, 7): 1, (3, 4): 1, (3, 8): 1, (4, 9): 2, (6, 7): 1, (6, 11): 1, (7, 8): 1, (7, 12): 1, (8, 9): 2, (8, 13): 1, (9, 14): 1, (11, 12): 1, (11, 16): 1, (12, 13): 2, (12, 17): 2, (13, 14): 2, (13, 18): 2, (14, 19): 2, (16, 17): 1, (16, 21): 1, (17, 18): 2, (17, 22): 1, (18, 19): 1, (18, 23): 1, (19, 24): 1, (21, 22): 2, (22, 23): 1, (23, 24): 1}, 'ilp_redundant_memory_load': {1: 2, 2: 3, 3: 3, 4: 3, 6: 3, 7: 4, 8: 5, 9: 5, 11: 3, 12: 6, 13: 7, 14: 5, 16: 3, 17: 6, 18: 6, 19: 4, 21: 3, 22: 4, 23: 3, 24: 2}, 'used_budget': 40, 'candidate_edge_count': 40, 'effective_capacity': 160}",,,,,,,,
ILP_CG-MP_t,num_requests_per_trial,2,2,593145736,,25,40,10.0,SUMMARY,1.0,1.0,1.0,,,,,,,,,,,,,,,0.24441970000000168,0.0005306999999987738,0.001037900000000036,0.24545760000000172,0.24667449999999747,0.24667449999999747,,,,,,,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILP-MP_t,num_requests_per_trial,2,2,593145736,,25,40,10.0,0,1.0,1.0,1.0,2000.039600220076,0.0396002200757386,2,2,40,1,1,"[1, 0]","[[4, 18, 12], [19, 13, 21]]","[[4, 18, 12], [19, 13, 21]]",40,40,40,160,0.017299600000001192,0.000495100000001969,0.0016344000000003689,0.01893400000000156,0.01979599999999948,0.01979599999999948,"{(1, 2): 1, (1, 6): 1, (2, 3): 1, (2, 7): 1, (3, 4): 2, (3, 8): 1, (4, 9): 2, (6, 7): 1, (6, 11): 1, (7, 8): 1, (7, 12): 2, (8, 9): 1, (8, 13): 1, (9, 14): 1, (11, 12): 1, (11, 16): 1, (12, 13): 2, (12, 17): 2, (13, 14): 2, (13, 18): 2, (14, 19): 2, (16, 17): 1, (16, 21): 1, (17, 18): 2, (17, 22): 1, (18, 19): 1, (18, 23): 1, (19, 24): 1, (21, 22): 1, (22, 23): 1, (23, 24): 1}",314954152,1899179786,2012288188,689960118,"[4265918666, 2813778286]",1,4029182149,"{'ilp_objective': 2000.039600220076, 'ilp_expected_objective': 2000.039600220076, 'ilp_expected_throughput_term': 0.0396002200757386, 'ilp_covered_requests': 2, 'ilp_selected_tree_count': 2, 'deployed_source_count': 40, 'ilp_objective_mode': 'coverage_expected_throughput', 'ilp_use_redundancy_reward': False, 'ilp_spend_remaining_budget_after_solve': True, 'ilp_status': 'OPTIMAL', 'ilp_candidate_seed': 1934997417, 'ilp_solver_seed': 1714257075, 'ilp_selected_trees': 2, 'ilp_candidate_tree_counts': {0: 4, 1: 4}, 'ilp_minimum_routing_source_placement': {(3, 4): 1, (3, 8): 1, (7, 8): 1, (7, 12): 1, (12, 17): 1, (13, 14): 1, (14, 19): 1, (17, 18): 1, (19, 24): 1, (21, 22): 1, (22, 23): 1, (23, 24): 1}, 'ilp_optimized_z_used_budget': 12, 'ilp_deployed_used_budget': 40, 'ilp_redundant_used_budget': 40, 'ilp_redundant_routing_source_placement': {(1, 2): 1, (1, 6): 1, (2, 3): 1, (2, 7): 1, (3, 4): 2, (3, 8): 1, (4, 9): 2, (6, 7): 1, (6, 11): 1, (7, 8): 1, (7, 12): 2, (8, 9): 1, (8, 13): 1, (9, 14): 1, (11, 12): 1, (11, 16): 1, (12, 13): 2, (12, 17): 2, (13, 14): 2, (13, 18): 2, (14, 19): 2, (16, 17): 1, (16, 21): 1, (17, 18): 2, (17, 22): 1, (18, 19): 1, (18, 23): 1, (19, 24): 1, (21, 22): 1, (22, 23): 1, (23, 24): 1}, 'ilp_redundant_memory_load': {1: 2, 2: 3, 3: 4, 4: 4, 6: 3, 7: 5, 8: 4, 9: 4, 11: 3, 12: 7, 13: 7, 14: 5, 16: 3, 17: 6, 18: 6, 19: 4, 21: 2, 22: 3, 23: 3, 24: 2}, 'used_budget': 40, 'candidate_edge_count': 40, 'effective_capacity': 160}",,,,,,,,
ILP-MP_t,num_requests_per_trial,2,2,593145736,,25,40,10.0,SUMMARY,1.0,1.0,1.0,,,,,,,,,,,,,,,0.017299600000001192,0.000495100000001969,0.0016344000000003689,0.01893400000000156,0.01979599999999948,0.01979599999999948,,,,,,,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT-MP_t,num_requests_per_trial,3,3,593145736,,25,40,10.0,0,1.0,1.0,1.0,,,,,40,1,2,"[1, 0, 0]","[[4, 18, 12], [19, 13, 21], [3, 1, 15]]","[[4, 18, 12], [19, 13, 21], [3, 1, 15]]",40,40,40,160,0.002992000000006101,0.00044949999999488455,0.00159699999999674,0.004589000000002841,0.005484099999996772,0.005484099999996772,"{(12, 13): 1, (7, 12): 1, (11, 12): 1, (12, 17): 1, (6, 7): 1, (7, 8): 1, (6, 11): 1, (8, 13): 1, (11, 16): 1, (13, 18): 1, (16, 17): 1, (17, 18): 1, (2, 7): 1, (10, 11): 1, (13, 14): 1, (17, 22): 1, (16, 21): 1, (18, 19): 1, (18, 23): 1, (3, 8): 1, (5, 6): 1, (8, 9): 1, (15, 16): 1, (1, 6): 1, (1, 2): 1, (2, 3): 1, (5, 10): 1, (9, 14): 1, (10, 15): 1, (14, 19): 1, (21, 22): 1, (22, 23): 1, (4, 9): 1, (0, 1): 1, (0, 5): 1, (3, 4): 1, (15, 20): 1, (19, 24): 1, (20, 21): 1, (23, 24): 1}",1917356134,3074377297,2012288188,689960118,"[4265918666, 2813778286, 1199889537]",1,4029182149,"{'betweenness_scores': {(0, 1): 0.04896031746031746, (0, 5): 0.04896031746031746, (1, 2): 0.06992857142857144, (1, 6): 0.0758253968253968, (5, 6): 0.07582539682539681, (5, 10): 0.06992857142857144, (2, 3): 0.06992857142857144, (2, 7): 0.08376190476190479, (6, 7): 0.11528571428571432, (6, 11): 0.11528571428571428, (3, 4): 0.04896031746031746, (3, 8): 0.07582539682539681, (7, 8): 0.11528571428571431, (7, 12): 0.12957142857142856, (4, 9): 0.04896031746031747, (8, 9): 0.07582539682539681, (8, 13): 0.11528571428571428, (9, 14): 0.06992857142857144, (10, 11): 0.08376190476190479, (10, 15): 0.06992857142857144, (11, 12): 0.12957142857142856, (11, 16): 0.11528571428571428, (12, 13): 0.1295714285714286, (12, 17): 0.12957142857142856, (13, 14): 0.08376190476190479, (13, 18): 0.11528571428571428, (14, 19): 0.06992857142857144, (15, 16): 0.07582539682539681, (15, 20): 0.04896031746031746, (16, 17): 0.11528571428571428, (16, 21): 0.07582539682539682, (17, 18): 0.11528571428571428, (17, 22): 0.08376190476190476, (18, 19): 0.07582539682539682, (18, 23): 0.07582539682539682, (19, 24): 0.04896031746031746, (20, 21): 0.04896031746031746, (21, 22): 0.06992857142857144, (22, 23): 0.06992857142857144, (23, 24): 0.04896031746031746}, 'allocation': {(0, 1): 1, (0, 5): 1, (1, 2): 1, (1, 6): 1, (2, 3): 1, (2, 7): 1, (3, 4): 1, (3, 8): 1, (4, 9): 1, (5, 6): 1, (5, 10): 1, (6, 7): 1, (6, 11): 1, (7, 8): 1, (7, 12): 1, (8, 9): 1, (8, 13): 1, (9, 14): 1, (10, 11): 1, (10, 15): 1, (11, 12): 1, (11, 16): 1, (12, 13): 1, (12, 17): 1, (13, 14): 1, (13, 18): 1, (14, 19): 1, (15, 16): 1, (15, 20): 1, (16, 17): 1, (16, 21): 1, (17, 18): 1, (17, 22): 1, (18, 19): 1, (18, 23): 1, (19, 24): 1, (20, 21): 1, (21, 22): 1, (22, 23): 1, (23, 24): 1}, 'used_budget': 40, 'candidate_edge_count': 40, 'effective_capacity': 160}",,,,,,,,
BT-MP_t,num_requests_per_trial,3,3,593145736,,25,40,10.0,SUMMARY,1.0,1.0,1.0,,,,,,,,,,,,,,,0.002992000000006101,0.00044949999999488455,0.00159699999999674,0.004589000000002841,0.005484099999996772,0.005484099999996772,,,,,,,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
